street address,town,zip,road side,private side
2604 AQUEDUCT ROAD,Niskayuna,12309,Unknown,Unknown
2615 AQUEDUCT ROAD,Niskayuna,12309,Unknown,Unknown
2619 AQUEDUCT ROAD,Niskayuna,12309,Unknown,Copper
2627 AQUEDUCT ROAD,Niskayuna,12309,Unknown,Unknown
2629 AQUEDUCT ROAD,Niskayuna,12309,Unknown,Unknown
2633 AQUEDUCT ROAD,Niskayuna,12309,Unknown,Unknown
2641 AQUEDUCT ROAD,Niskayuna,12309,Unknown,Unknown
2645 AQUEDUCT ROAD,Niskayuna,12309,Unknown,Unknown
2651 AQUEDUCT ROAD,Niskayuna,12309,Unknown,Unknown
2681 AQUEDUCT ROAD,Niskayuna,12309,Unknown,Unknown
2682 AQUEDUCT ROAD,Niskayuna,12309,Unknown,Copper
2744 AQUEDUCT ROAD,Niskayuna,12309,Unknown,Unknown
2754 AQUEDUCT ROAD,Niskayuna,12309,Copper,Unknown
2774 AQUEDUCT ROAD,Niskayuna,12309,Copper,Unknown
2775 AQUEDUCT ROAD,Niskayuna,12309,Copper,Unknown
2776 AQUEDUCT ROAD,Niskayuna,12309,Copper,Unknown
2780 AQUEDUCT ROAD,Niskayuna,12309,Copper,Unknown
2784 AQUEDUCT ROAD,Niskayuna,12309,Copper,Unknown
2786 AQUEDUCT ROAD,Niskayuna,12309,Copper,Unknown
2788 AQUEDUCT ROAD,Niskayuna,12309,Copper,Unknown
2796 AQUEDUCT ROAD,Niskayuna,12309,Copper,Copper
2835 AQUEDUCT ROAD,Niskayuna,12309,Copper,Unknown
2841 AQUEDUCT ROAD,Niskayuna,12309,Copper,Unknown
2843 AQUEDUCT ROAD,Niskayuna,12309,Copper,Copper
2845 AQUEDUCT ROAD,Niskayuna,12309,Copper,Unknown
2855 AQUEDUCT ROAD,Niskayuna,12309,Copper,Copper
2867 AQUEDUCT ROAD,Niskayuna,12309,Copper,Copper
2682 AQUEDUCT ROAD - PAVILION,Niskayuna,12309,Plastic,Plastic
2682 AQUEDUCT ROAD - REC CTR,Niskayuna,12309,Copper,Copper
2763 AQUEDUCT ROAD,Niskayuna,12309,Copper,Unknown
2819 AQUEDUCT ROAD,Niskayuna,12309,Copper,Unknown
1273 ARDMORE COURT,Niskayuna,12309,Copper,Copper
1277 ARDMORE COURT,Niskayuna,12309,Copper,Copper
1278 ARDMORE COURT,Niskayuna,12309,Copper,Copper
1281 ARDMORE COURT,Niskayuna,12309,Copper,Copper
1282 ARDMORE COURT,Niskayuna,12309,Copper,Copper
1285 ARDMORE COURT,Niskayuna,12309,Copper,Copper
1286 ARDMORE COURT,Niskayuna,12309,Copper,Copper
2004 ARKONA COURT,Niskayuna,12309,Unknown,Unknown
2008 ARKONA COURT,Niskayuna,12309,Unknown,Unknown
2012 ARKONA COURT,Niskayuna,12309,Unknown,Unknown
2015 ARKONA COURT,Niskayuna,12309,Unknown,Unknown
2020 ARKONA COURT,Niskayuna,12309,Unknown,Unknown
2021 ARKONA COURT,Niskayuna,12309,Unknown,Unknown
